Bubble sort


type is 1
Length;Average;Min;Max
1000;1843436;1703164;2345536
2000;8171604;7119082;18325590
3000;17969842;17075426;21420244
4000;34061003;32497790;39350995
5000;56482750;53879182;61279421
6000;84086203;80668262;95085892
7000;116829819;113053402;125636320
8000;156164232;150628867;165517843
9000;201872504;194530365;209431551


type is 2
Length;Average;Min;Max
1000;2002385;1849591;3244804
2000;7859344;7626402;9989667
3000;18690510;17860992;21246222
4000;34966501;33595250;40209949
5000;58517319;55754381;65218338
6000;87383453;83914172;94695769
7000;122116988;116935300;132237876
8000;162427073;156364486;177042665
9000;206824510;200451735;224058920


type is 3
Length;Average;Min;Max
1000;1242730;1198458;2364823
2000;5192664;4776603;7175786
3000;11692644;10740401;14156206
4000;20067497;19105921;24377742
5000;31327593;29839658;37119033
6000;44994793;42997800;50106876
7000;61071347;58508285;67502327
8000;79403046;76436974;84587563
9000;101122255;96842118;108876509


type is 4
Length;Average;Min;Max
1000;2203039;2070078;3805835
2000;8890617;8249777;10876915
3000;20428020;19182777;24614999
4000;35070552;33601333;40239431
5000;54262246;51705703;61884141
6000;77714444;74637601;86672623
7000;105841521;101319850;119693495
8000;138726094;133307760;150988129
9000;176697406;169291740;191295083

Iverson's bubble sort number One


type is 1
Length;Average;Min;Max
1000;1787968;1707316;2424872
2000;7384701;6809540;9624976
3000;16905911;15971756;19786260
4000;31789365;30279481;35719029
5000;52732838;50390411;60652399
6000;78416086;75207731;86097426
7000;111330393;105834175;126414800
8000;151221798;143287756;177672204
9000;192136644;185987315;204162430


type is 2
Length;Average;Min;Max
1000;1932328;1884225;2355843
2000;8105283;7447408;10639126
3000;18202957;17406113;21719203
4000;33838103;32200594;38936911
5000;54886085;52841184;60581270
6000;86393129;78591862;125701810
7000;115397433;110129813;126022026
8000;154759881;149031399;166350337
9000;198701547;192838833;213750151


type is 3
Length;Average;Min;Max
1000;1268431;1196682;2357479
2000;5059527;4762604;6878138
3000;11362103;10712332;13742898
4000;20268665;19071243;23120637
5000;30955395;29785333;35279665
6000;44601288;42934780;51940742
7000;60989390;58445995;78370535
8000;78680395;76374989;85483078
9000;100479433;96722357;107591362


type is 4
Length;Average;Min;Max
1000;2146731;2066146;3166597
2000;8990941;8256349;11295600
3000;19375942;18628167;22452311
4000;35074111;33433527;43798411
5000;54236244;52051204;62100626
6000;77300217;74455330;83756556
7000;106742560;102340211;120150252
8000;138455495;132406530;150416131
9000;180478280;168302470;242624245

Iverson's bubble sort number Two


type is 1
Length;Average;Min;Max
1000;3392181;1863312;36856420
2000;9611752;7793793;24882663
3000;20139921;18858020;23895148
4000;37130912;35472392;42037712
5000;61174622;58852921;66765511
6000;92919341;86498023;139871416
7000;133431516;120937442;176736674
8000;168166901;162239143;180338554
9000;214689653;207309401;247701574


type is 2
Length;Average;Min;Max
1000;2191506;2045568;3039041
2000;9135749;8361202;11750625
3000;20975802;19900920;24388260
4000;39052076;37267282;44361127
5000;63040727;60433364;71538665
6000;93064802;90086967;100470832
7000;131007191;126006472;140850506
8000;173824125;167482358;188404963
9000;224504403;216466769;245135828


type is 3
Length;Average;Min;Max
1000;918643;886490;1602799
2000;897333;889078;1012553
3000;1006124;891756;1802908
4000;952884;894343;1404337
5000;932325;896917;1076389
6000;979414;899760;1838981
7000;922456;902627;1137203
8000;939905;904735;1220783
9000;1035591;907391;1769546


type is 4
Length;Average;Min;Max
1000;2380376;2170595;3993681
2000;9337915;8630660;11641089
3000;20796435;19927042;24837328
4000;36786774;35044849;41311166
5000;56567414;54086878;63018413
6000;81294822;77885472;87095056
7000;110381983;105992142;126235344
8000;145083933;139502117;155812401
9000;183612563;176891135;197046084

Counting sort


type is 1
Length;Average;Min;Max
1000;10964;10873;11476
2000;20801;20683;23864
3000;31077;30999;31195
4000;41776;41118;87731
5000;51464;51283;53679
6000;74379;61762;124117
7000;81029;76964;89546
8000;82780;82143;97630
9000;108134;92957;282081


type is 2
Length;Average;Min;Max
