************ Bubble sort ************ 

Now is array with  from 0 to 7 numbers.
Length	Average		Min		Max
1000		1890519		1704810		3127957
2000		9496222		7034678		29580136
3000		17412755		16971206		21889168
4000		33710169		32380023		39067894
5000		55938474		54171432		62027737
6000		83695476		80643225		90502345
7000		116290127		112751028		122501870
8000		154911602		150213748		167272260
9000		200485434		194507516		208416615

Now is array with from 0 to INT_MAX numbers.
Length	Average		Min		Max
1000		1893556		1848559		3634676
2000		7876043		7496307		10558113
3000		18463031		17899688		21663582
4000		34720220		33585780		38986560
5000		57705853		55848432		63188311
6000		86714541		83801349		97356192
7000		120040423		116220476		130672637
8000		161444205		156273896		175958197
9000		205561713		199796175		216701727

Now is array with semi-sorted numbers.
Length	Average		Min		Max
1000		1244876		1199706		1843126
2000		4949653		4773750		5921927
3000		11389224		10734222		13762765
4000		19872664		19100506		24456693
5000		31057385		29838952		35852712
6000		44700825		42969314		49756519
7000		60228226		58488217		65139991
8000		78794622		76409167		87382112
9000		99573067		96774542		105998488

Now is array with already sorted numbers.
Length	Average		Min		Max
1000		2125270		2070287		3390927
2000		9122711		8614560		11264007
3000		19495272		18617268		23444291
4000		35214099		33742754		43866695
5000		53594703		51708297		60190837
6000		77757695		74833944		88688912
7000		105033735		101368091		114700367
8000		138567685		133536248		156037940
9000		174110762		168381639		192545155

************ Iverson's bubble sort number One ************ 

Now is array with  from 0 to 7 numbers.
Length	Average		Min		Max
1000		1793045		1709538		3292038
2000		7509393		6811867		9698749
3000		16776187		15977736		20205655
4000		31526797		30072732		36496843
5000		52336491		50058087		64230930
6000		77640656		74884122		84503300
7000		109529268		105964106		118618387
8000		147574012		142796282		159885575
9000		190604416		184386775		204546707

Now is array with from 0 to INT_MAX numbers.
Length	Average		Min		Max
1000		1942897		1875636		3079610
2000		7950195		7409763		10311789
3000		18306410		17386196		21802705
4000		33527403		32146961		37875190
5000		54738566		52830117		62178092
6000		81401475		78420260		90350848
7000		114278033		110199161		124792317
8000		153149001		148408326		161003389
9000		197646635		192086325		211517311

Now is array with semi-sorted numbers.
Length	Average		Min		Max
1000		1266603		1196550		2289602
2000		5030059		4752118		6868433
3000		11267573		10711818		13888692
4000		19828193		19059067		22922461
5000		31028711		29771106		34512439
6000		44215292		42897177		49020994
7000		60377439		58426345		68150547
8000		78657889		76324871		83803182
9000		100158580		96655067		109863436

Now is array with already sorted numbers.
Length	Average		Min		Max
